PO_Number,Date,Vendor_Name,Description,Quantity
011520-01,1/15/2020,PRECISE ROTARY DIE,"P/N N072157 SEAT | MATERIAL :4140 PH 1ea | 3 STEP GRINGING | ID 95H8 (3.7423 // 3.7412 // 3.7402 ) 3.7412 +/- .0007 200/ ea | ID 100H8 (3.9391 // 3.9381 //3.9370 )                                                 6.2982 +/- .0005 | OD 160g6 ( 6.2987 // 6.2982 //6.2977 ) @ 0.8 Texure                     (6.2982 +/- .0005) | BOTH CONCENTRIC WITHIN .0005 WITH OD | ""OD""  CAN BE REFFERENCE FOR ID GRINDING",1
011520-02,1/15/2020,PRECISE ROTARY DIE,P/N N036471 PISTON | MATERIAL : 4140 PH  28 Rc 1 ea | 2 STEP  OD GRINDING | 110e7  (4.3279 // 4.3272 // 4.3265) 4.3272 +/- .0005 125/ea | 30e7 (1.1795 // 1.1791 // 1.1787) 1.1791 +/- .0004 | ******PLEASE BREAK SHARP EDGES  .005 to .01 IN THE GROOVES FOR 110 dia ****,1
011524-01,1/15/2024,DELTA GRINDING,408S3406  BUSHING | Need OD Grinding  TO   (2.1645 +/-.0005),20
011525-01,1/15/2025,PRECISE ROTARY DIE,MATERIAL  4140  PH P/N H326958 SEAT | 185g6 OD ALL OVER (AT 0.8 TESTURE)    7.2829 / 7.2817      || MID DIM (7.2823) || 1 ea | 125H7 ID (AT 0.4 SURFACE TEXTURE 4.9228 / 4.9220     2 PL     || MID 4.9224  +/- .0004 || | 130H8 ID (AT 0.8 TEXTURE) 5.1205/ 5.1185                            || MID 5.1195  +/- .001||,1
011525-01,1/15/2025,F & S Complete Grinding,P/N H335891 PLATE 40 MM thick | MATERIAL : 304 SS 1 ea | Please clean uo the C bore side about .005-.008 | FINISH THE PoCKETS SIDE to  1.578 /1.576 | 2 SIDE GRINDING  TO FINISH : | 40+0 /-.04 MM   (1.5748 /1.5732)                                            1.5740+/-.0008 | Will send a platew 16 tapped holes  plate to grind both sides  with different PO | and place the plate with POCKETS down and finish to 1.5740 +/-.0008,1
011623-01,1/16/2023,PRECISE ROTARY DIE,P/N N064799 SHAFT | MATERIAL : 4140  56Rc | 3 step grinding ALL  @ 3.2 Texture | OD  25e7 .9827 //.9823//.982)  @ 3.2Texture Price /ea 100/ea | OD 40e7  (1.5728 // 1.5723 // 1.5720 ) PLEASE CLEAN THE FLANGE .001 | OD 30h6  ( 1.1810  // 1.1808 // 1.1806 )  PLESE CLEAN THE FLANGE  BOTH SIDES .001,
011623-02,1/16/2023,"NOVA CHROME Inc,",P/N H306463 | MATERIAL: A36 | HARD CHROME ALL OVER | .0004 to .0006 THICK WALL  (Criticaly Dimensions Please don t over coat) | NO CERTS,1
011623-03,1/16/2023,"NOVA CHROME Inc,",(ASAP PLEASE)  thank you | MATERIAL  :  3W543601 PISTON | HARD CHROME ON THE 120 MM diam ONLY   (   .0004 to .0006 thick wall) | (PLEASE SEE DWG -CHROME ON YELLOW MARK ONLY) 2 ea | M16 x 4 SCREWS FOR MOUNTING  (HOPE THAT HELPS) | No certs,2
011719-01,1/17/2019,PRECISE ROTARY DIE,P/N N049364 SHAFT (2 step grinding) | MATERIAL : H13 - 45 Rc | 25e7 mm (.9827 // .9823 // .9819 )                     .9823 +/- .0003 | 20g6 mm (.7871 // .7869 // .7866 )                      .7869  +/- .0002,1
011720-01,1/17/2020,GENERAL  SURFACE  HARDENING,MATERIAL  :4140 AN | P/N N062738 SLEEVE 1ea | Harden to 25 Rc  +/- 2 | No certs,1
011720-01,1/17/2020,DELTA GRINDING,PLEASE RUSH  (TOMMORROW IF POSSIBLE OR FRIDAY) | 10625959 PIN | Need OD Grinding  TO  .8580 /.8565  &3.2 Texture) 84 ea,84
011720-02,1/17/2020,PRECISE ROTARY DIE,P/N 625W1702 BUSHING | MATERIAL : 4140   65 Rc 4ea | OD 116P6  (4.5693 // 4.5688 // 4.5684 OD 4.5688  +/- .0004 50/ea | ID 100F7  (3.9398 // 3.9390 // 3.9384 ) ID 3.9390 +/- .0004 | PLEASE INDICATE OD,4
011720-02,1/17/2020,DELTA GRINDING,12281662 THREADED STUD | Need OD Grinding  TO  .746 /.744 500 ea,500
011722-01,1/17/2022,DELTA GRINDING,388W4511 /388W4512 ROD | Need OD Grinding  TO 1.6530 /1.6500,9
011723-01,1/17/2023,Skild Plating Co.,"Material  416 SS | P/N  MS20066-793 KEY SECTION-SQUARE, E 155 ea | PASSIVATE PER QQ -P-35 | CERT REQUIRED PLEASE 155 ea",155
011724-01,1/17/2024,Belmont Plating,"P/N  12280532 PIN STRAIGHT THREAD | Finish:  1.9.2.3 OF MIL STD-171 ,EXCEPT .0003 THICK ,SUPPLEMENTARY CHROMATE | TREATMENT TO BE BRONZE OR OLIVE DRAB IN COLOR | Certification required please",122
011818-01,1/18/2018,(Windy City Cutting Die),RUSH PLEASE IF (POSSIBLE NEXT DAY) | MATERIAL  :  A36 | TOP AND BOTTOM GRINDING TO .905 +/- .005 | Please try to grind equaly  (About .01 per side) | PLEASE SIGN THE COPY  AND RETURN,2
011820-01,1/18/2020,PRECISE ROTARY DIE,P/N 622W3101 /622W3102 | MATERIAL : 4140   PH 2ea | 2 OD GRINDING 60/ea | STEP 1  SHORTER END  -  OD (1.3780  +0 /- .0003) | STEP 2  LONGER END -  OD  (1.3783)      1 .3782 /1.3787 LONGER SIDE | ON 1.535 LONG  SHAFT 1 AND 3.080 LONGER SHAFT),2
011821-01,1/18/2021,Skild Plating Co.,"Material  1018 | P/N 2589899  ROD- REV B | ZINC PLATE TYPE II ,SC2  ASTM B633 | CERT REQUIRED PLEASE",107
011918-01,1/19/2018,PRECISE ROTARY DIE,MATERIAL  :420 SS 30 Rc | Y027550 SHAFT | 2 STEPS OD GRINDING ONLY CONCENTRIC .0005 | OD 18e7 (.7074 // .7070 // .7067 ) .7070 +/- .0003 | OD 13e7 (.5106// .5102 // .5098 ) 0.5102 +/- .0003 | NO SIDE TOUCHE PLEASE,1
011921-01,1/19/2021,DELTA GRINDING,MATERIAL  : 1018 | Now at .998/.9985 | Need OD Grinding to:  .9955 /.996 114 ea | Parts are accepted with spots (at the end will be Nickel Plated),114
012017-01,1/20/2017,PRECISE ROTARY DIE,P/N N086440 POPPET | MATERIAL : 4130 -  56 Rc Case Harden 3ea | 3 STEP GRINDING | 114.4h7  = (4.5039 // 4.5032 // 4.5026) in  @ 0.8 Texture 115/ ea | 99.990/99.985 mm  (3.9366 // 3.9364 ) in  (3.9365 +/- 0.0001) @ 0.8 Texture | 40f7 mm = (1.5738 // 1.5733 // 1.5728 In ) @ 0.4 Texture,3
012017-01,1/20/2017,GENERAL  SURFACE  HARDENING,MATERIAL  :4140 AN | P/N  H319551 SEAT | HEAT TREAT TO 21-25 Rc     (23 Rc +/- 2) | NO CERTS (Thank you),2
012017-01,1/20/2017,PRECISE ROTARY DIE,P/N N036472 POPPET | MATERIAL : 4130 -  56 Rc Case Harden 1ea | 2 STEP GRINDING | PLEASE TURN DOWN BEFOR GRINDING 200/ ea | OD  99.90/99.88 mm  (3.9330 // 3.9323) in               (3.9327 +/- 0.0003)    @ 0.8 Texture | ID 84H8 mm = (3.3092 // 3.3081 // 3.3071 In ) @ 0.4 Texture       3.3080 +/- .0005 | ONLY .788 DEEP (per print),1
012019-01,1/20/2019,PRECISE ROTARY DIE,P/N H325385 SLEEVE | MATERIAL : 4140 ph 2 ea | PLEASE USE BOXED DIMENSIONS | 9.100 for OD 6.150 for ID 20.925 for length 350/ea,2
012022-01,1/20/2022,PRECISE ROTARY DIE,P/N N073298 PISTON HEAD | MATERIAL : 4140 PH  28 Rc 1 ea | 135H7 (5.3165 // 5.3157 // 5.3150) 5.3157 +/- .0005 | 185g6  (7.2829 // 7.2823 // 7.2817) 7.2823 +/- .0005 150/ea | All concentric with .001 with 50 MM bore (Finished to size) 1.9700,1
012116-01,1/20/2016,DELTA GRINDING,9X814801 8 ea | Material :4140 -50Rc | Need OD Grinding to .9826/.9819  @  0.8/1.6  SURFACE TEXTURE | 9X814804 4 ea | Need OD Grinding to 1.3763/1.3756  @  0.8/1.6  SURFACE TEXTURE,4
012120-01,1/21/2020,PRECISE ROTARY DIE,MATERIAL : 4140 PH (28 Rc)  (repeat job) 1 ea | Grinding  OD ONLY | ID  120g6  (4.7239  // 4.7235  // 4.7231 )     4.7235 +/- .0004 | OD HAS TO BE .0005 PERPENDICULAR WITH THE FLANGE,1
012120-01,1/21/2020,GENERAL  SURFACE  HARDENING,MATERIAL  :H13 | P/N  9W306305 GUIDE  PIN | Harden to 45  +/- 2 Rc 6 ea | No certs,6
012120-02,1/21/2020,GENERAL  SURFACE  HARDENING,MATERIAL  : 1010 STEEL | P/N  8357330 SPACER NEEDLE BEARING | CASE HARDENING ALL OVER   TO FILE HARD  60 Rc   (SEE NOTE) 2600 ea | NOTE: | CERTIFICATION REQUIRED PLEASE,2600
012122-01,1/21/2022,PRECISE ROTARY DIE,P/N N073297 PISTON | MATERIAL : 4140 PH  28 Rc 1 ea | 3 STEP  OD GRINDING | 135e7  (5.3116 // 5.3108 // 5.3100) 5.3108 +/- .0005 135/ea | 50e7 (1.9665 // 1.9660 //1.9655 ) 1.9660  +/- .0005 | 49.9-49.8  (JUST CLEAN UP TO  1.964 // 1.961 ) x 7.72 FROM,1
012219-01,1/22/2019,CHICAGO FLAME HARDENING,PLEASE ASAP | MATERIAL  :  65-45-12 | Target hardening  50 Rc on the grooved sides only | (please do what is possible to keep them straight as much) | NO CERTS REQ,8
012219-01,1/17/2019,PRECISE ROTARY DIE,P/N 8349811 | MATERIAL : 4140 ph 166 ea | .712 /.710   grind both sides   (parts have now about .720 /.718 thickness) | IF SOME PARTS DON T CLEAN UP DON T UNDERSIZE PLEASE 1.5/ea,166
012220-01,1/21/2020,GENERAL  SURFACE  HARDENING,MATERIAL  : 4130 AN | P/N  6R893601 PISTON | CASE HARDENING ALL OVER   1/16 DEEP TO Rc 56 1 ea | (NOT ON THE 2 O RING  GROOVES PLEASE -I ACCEPT THE EXTRA CHARGE) | NO CERTS!,1
012220-01,1/22/2020,PRECISE ROTARY DIE,P/N N062738 BUSHING | MATERIAL : 4140 ph (23 Rc) 1 ea | TURNING AND GRINDING PER PRINT 1500/EA | ID HONING  TO 210.23 mm +/-.02 8.2770 +/- .0015,1
012224-02,1/22/2024,GENERAL  SURFACE  HARDENING,MATERIAL  : 4140 AN | P/N  TML0026  LINK PIN 2.75 Rd x 16.9 4 ea | P/N TML0038 LINK PIN 2.0 Rd x 5.63 3 ea | Quench and temper to   56 Rc   +/- 2 | No certs,7
012225-01,1/22/2025,PRECISE ROTARY DIE,P/N N019729 SHAFT (4 step OD Grinding) | MATERIAL : 4140 PH 1 ea | 35f7 (1.3770 // 1.3765 // 1.3760)           1.3765 +/- .0005 | 30js6 (1.1814 // 1.1811 // 1.1808 )           1.1810 +/- .0005 | 25js6 (.9845 // .9843 // .9840 )              .9843 +/- .0003 | 12h7 (.4724 // .4721 // .4717 )                      .4720  +/- .0005,1
012319-01,1/23/2019,DELTA GRINDING,8349574 SHAFT% | Need OD Grinding  TO .561 /.560 in 252 ea,252
012319-01,1/17/2019,PRECISE ROTARY DIE,P/N N069970  piston | MATERIAL : 4140 ph 2 ea | 170e7  (6.6896 // 6.6888 // 6.6880 )  at 0.8 texture 6.6888  +/- .0006 135/ pcs | 60e7   (2.3598 // 2.3593 // 2.3587 ) at0.8 texture 2.3593  +/- .0005 | 59.9 /59.8   (2.357 // 2.355) x 8.90 from the small end at  3.2 texture       2.356  +/- .001,2
012319-02,1/17/2019,PRECISE ROTARY DIE,P/N N098857 PLATE | MATERIAL : 4140 ph 4 ea | 49/48.9 mm 1.929 // 1.925 at 3.2 texture 1.927 +/- .002 | PLEASE PLACE PARTS WITH GROOVED SIDE DOWN FIRST AND GRIND .008 /.009 | for all plates then flip and grind to size  1.927 +/- .002 | CRITICALY DIMENSIONS ON THE  GROOVED SIDE  FROM TOP TO THE TEE | .512 / .504 in,4
012320-01,1/23/2020,PRECISE ROTARY DIE,MATERIAL  : 4140  PH  (P/N- N031988 SHAFT) | 4 step OD 1ea | 45js6  (1.7720 // 1.7717 // 1.7713)                               1.7717+/- .0003 | 30js6  (1.1814 // 1.1811 // 1.1808 )                               1.1811 +/- .0003 100/ea | 28js6   (1.1026 // 1.1024 // 1.1021 )                          1.1024 +/- .0003 | 35js6    (1.3783 // 1.3780 // 1.3776 )                         1.3780 +/- .0003,1
012418-01,1/24/2018,Skild Plating Co.,Material  304 ss | P/N 2587549 SPACER | FINIS  : PASSIVATION | CERT REQUIRED PLEASE,142
012418-02,1/24/2018,Skild Plating Co.,Material  303 ss | P/N 12278979 PLUG | FINIS  : PASSIVATION | PLEASE CK  1 or 2 parts not to get burned on the surface | CERT REQUIRED PLEASE,262
012418-03,1/24/2018,GENERAL  SURFACE  HARDENING,RUSH  PLEASE | MATERIAL  : 4130 | P/N  N029282 POPPET | CASE HARDEN TO 52 +/- 2  RC x 1/16 DEEP MIN | NO CERTS!,2
012420-01,1/24/2020,PRECISE ROTARY DIE,MATERIAL  : 1018 | NUT PER PRINT  Y010850 2 ea | Material 1018   .375 RD x 4.00 | NO DOWEL PIN,2
012424-01,1/24/2024,DELTA GRINDING,N072802 4 ea | Need OD Grinding  TO 1.6530 /1.6510   @6.3 Texture,4
012516-01,1/25/2015,GENERAL  SURFACE  HARDENING,MATERIAL  :4140 AN | P/N  H319551 SEAT | HEAT TREAT TO 21-25 Rc | NO CERTS (Thank you),2
012519-01,1/25/2019,PRECISE ROTARY DIE,P/N N066878 PISTON | MATERIAL : 4140 PH  28 Rc 2ea | 3 STEP  OD GRINDING | 130e7  (5.1148 // 5.1140 //5.1132) 5.1140 +/- .0005 100/ea | 45e7 (1.7697 // 1.7692 // 1.7687 ) 1.7692 +/- .0005 | 45 -.1 /-.2   (JUST CLEAN UP TO  1.767 / 1.764  NOT LESS THAN 1.764 ) x 7.52 FROM,2
012521-01,1/25/2021,PRECISE ROTARY DIE,MATERIAL : 4140 PH  28 Rc 75 ea | ONE RING HAS .195 THICKNESS (the other ones .189/.187) 75 / LOT | GRIND EQUALY FROM BOTH SIDES TO .185/.183 | Please do  not go under .183 (spots are accepted -Parts will go tocad plate),75
012521-01,1/25/2021,PRECISE ROTARY DIE,MATERIAL : 4140 PH  28 Rc 62 ea | THICKNESS IS At ~  .190 GRIND ABOUT .003 ONE SIDE AND FLIP 200/ LOT | GRIND EQUALY FROM BOTH SIDES TO .185/.183 .184 +/-.001 | Please do  not go under .182 (spots are accepted -Parts will go to cad plate),62
012524-01,1/25/2024,DELTA GRINDING,TML0026   LINK PIN | MATERIAL  : 4140  50/56 Rc 4 ea | 70f6 -.030/-.049   (2.7547 // 2.7539 ) 2.7543 +/- .0004 | TML0038 LINK PIN | 45f6 -.025 /-.041  (1.7706 // 1.7700) 1.7706 /1.7700 3 ea,7
012617-01,1/26/2017,Belmont Plating,"Material : 1018 50 Rc | P/N 10861777 BLEEDER, VALVE | FINIS  : ZINC COAT TYPE II ,SC2,   0.3 MILS THICK MIN, 32 ea | Cert Required Please",32
012717-02,1/27/2017,"Expert Metal Finishing, Inc",P/N : Y003999 SPROCKET | Finish: | BLACK OXIDE | NO CERTIFICATION,30
012721-01,1/27/2021,Rockford Heat Treaters,MATERIAL  :4140 -28 -32  Rc (Q andT) | P/N Y141519 BUSHING 6 ea | PARTS ARE QUENCH AND TEMPERED  @ 28-32   Rc  now | GAS Nitride Harden to MAX  if  possible  (60-65 Rc at .015  to .025 in deep) | PLEASE STOCK THEM ON THE FLAT SIDE | NO CERTS JUST THE DELIVERY TICKET WITH THE TESTING RESULTS,6
012721-01,1/27/2021,DELTA GRINDING,388W4512 ROD | Need OD Grinding  TO 1.6530 /1.6500,4
012722-01,1/27/2022,PRECISE ROTARY DIE,P/N N127433 SHAFT 5ea | MATERIAL :4140 PH | 4 STEPS OD GRINDING | 16e7  (.6287 // .6283 // .6280 )   @ 0.4 Texture   BY 100mm (3.94)                                                                 ) @ 0.4 Texture .6283 +/- .0003 125/ea | 16.2   (.638 +/- .002 )           6.3 Texture .638 +/- .002 | 20h7 ( .7874 // .7870 //.7866 )      6.3 Texture                                       .7870 +/- .0004 | 24e7 ( .9433 // .9429 // .9425)  @   0.8 Texture .9429  +/- .0004,5
012722-01,1/27/2022,GENERAL  SURFACE  HARDENING,MATERIAL  : 4130 AN | P/N  N073299 | CASE HARDEN ALL OVER TO  56 Rc (+/-3)    .04 to .07    DEEP 1 ea | NO CERTIFICATION,1
012725-01,1/27/2025,"Expert Metal Finishing, Inc","P/N :1550306-7 RING-GASKET RETAIN | MATERIAL  1117 | Finish: PHOSPHATE TYPE M, CLASS 1  PER MIL -P-16232 | ALSO :FINISH COAT ALL OVER WITH DRYING TYPE PRESERVATIVE OIL | SO THAT ALL SURFACES SHAL SUSTAIN A 48 HOUR MIN SALT SPRAY TEST | (Please sign the certs) | CERTIFICATION REQUIRED",255
012725-01,1/27/2025,"NOVA CHROME Inc,",MATERIAL   :L552676 BARREL END | CHROME PLATE ALL OVER .0003-.004  THICK WALL 6 ea | NOT SURE WHAT GOES FASTER HARD CHROME OR REGULAR CHROME | No certs,6
012819-01,1/28/2019,"NOVA CHROME Inc,",P/N Y050301  PLATE 2ea | P/N Y104280 PLATE 2ea | P/N N073034 L SHAPE BLOCK 4ea | .0004 Min  to  .0006  THICK (per side)  LOCALY ONLY ON THE GROOVED SIDES | PLEASE INCLUDE THE 45 DEG X .04 in CHAMFERS TO FOR PLATING | NO CERTS (NO HOLES MASKING),8
012825-01,1/28/2025,"Expert Metal Finishing, Inc","P/N :1550306-7 RING-GASKET RETAIN | MATERIAL  1117 | Finish: PHOSPHATE TYPE M, CLASS 1  PER MIL -P-16232 | ALSO :FINISH COAT ALL OVER WITH DRYING TYPE PRESERVATIVE OIL | SO THAT ALL SURFACES SHAL SUSTAIN A 48 HOUR MIN SALT SPRAY TEST | (Please sign the certs) | CERTIFICATION REQUIRED",300
012825-01,1/27/2025,"Expert Metal Finishing, Inc","P/N :1550306-7 RING-GASKET RETAIN | MATERIAL  1117 | Finish: PHOSPHATE TYPE M, CLASS 1  PER MIL -P-16232 | ALSO :FINISH COAT ALL OVER WITH DRYING TYPE PRESERVATIVE OIL | SO THAT ALL SURFACES SHAL SUSTAIN A 48 HOUR MIN SALT SPRAY TEST | (Please sign the certs) | CERTIFICATION REQUIRED",270
012825-01,1/28/2025,GENERAL  SURFACE  HARDENING,MATERIAL  : 4140 AN | P/N  TKM0053 LINK PIN 3.4 Rd  X19.8 2 ea | P/N  TKM0054 LINK PIN 2.0 Rd x 6.3/8 2 ea | Test part 20. Rd x 2.2 1ea | Quench and temper to 52 -58 Rc | NO CERTS,5
012919-01,1/29/2019,DELTA GRINDING,8349811 FOLLOWER | ID SIZE NOW .870 +/- .002 | Need ID  Grinding or   (HONING same as las time in 2015  )    to 0.8766 /.8761 166 ea | parts are concentric with OD within .001,166
012920-01,1/29/2020,PRECISE ROTARY DIE,9W306305 LINK PIN | MATERIAL  H13 -45 Rc 6 ea | 100f6 (3.9355 //3.9350 //3.9347 ) | PLEASE TRY ONE PASS (USE THE M12 SCREWS TO LOCK ) 150/ea,6
012921-01,1/29/2021,PRECISE ROTARY DIE,P/N Y141519 BUSHING | MATERIAL : 4140 - 65 Rc 6 ea | FINISH AFTER NITRIDE | OD 195p6 ( 7.6803 // 7.6797 // 7.6791 ) 7.6797  +/- .0005 80/ea | ID  175F7 (6.8930 // 6.8922 // 6.8915 ) 6.8922 +/- .0005,6
012924-01,1/29/2024,GENERAL  SURFACE  HARDENING,MATERIAL  :4140 AN | P/N  N064799 SHAFT 11 ea | Harden to 45 Rc +/- 3 | No certs,11
013020-01,1/30/2020,PRECISE ROTARY DIE,8357330  SPACER | MATERIAL  1008-60 RC FILE HARD 2600 ea | GRIND BOTH SIDES EQUALLY TO .060/.065    (ABOUT .005 each side) | (PLEASE PLACE THE CLEAN SIDE DOWN FIRST TIME) .50/ea,5
013020-01,1/31/2020,Belmont Plating,"PLEASE  RUSH   *** | Material :  4130  (26-38 Rc) | P/N 12281662 STUD | FINIS  : 1.9.2.3 OF MIL-STD-171 215 ea | EXCEPT .0003 IN THICK MIN, SUPPLEMENTARY CHROMATE TREATMENT | Cert Required Please",215
013020-01,1/31/2020,Belmont Plating,"PLEASE  RUSH   *** | Material :  4130  (26-38 Rc) | P/N 12281662 STUD | FINIS  : 1.9.2.3 OF MIL-STD-171 215 ea | EXCEPT .0003 IN THICK MIN, SUPPLEMENTARY CHROMATE TREATMENT | Cert Required Please",215
013020-02,1/30/2020,PRECISE ROTARY DIE,P/N 680V8201 POPPET | MATERIAL : 4130 - 56 Rc 1 ea | I need to clean up the rust spots about  (.001 /.0015 max)  on 2 DiAM ONLY | (Will send to chrome plate after) | 74.4h7 (2.9291 / 2.928 NOW)    PLESAE CLEAN UP - .001 TO 2.928/2.927 | 64.990 /64.985  (2.5587 // 2.5585 )        PLESAE CLEAN RUST  TO 2.5575 | 1.6 Finish  Texture for all 40/ea,1
013020-03,2/19/2020,PRECISE ROTARY DIE,P/N 680V8201 POPPET | MATERIAL : 4130 - 56 Rc 1 ea | 74.4h7 (2.9291 / 2.928)                                     2.9285 +/- .0005 | 64.990 /64.985  (2.5586 // 2.5584 )                        2.5585 +/- .0001 | 1.6 Finish  Texture for all 40/ea,1
013020-03,10/24/2019,PRECISE ROTARY DIE,P/N 6R893601 POPPET | MATERIAL : 4130 - 56 Rc 1 ea | 3 STEP Grinding  for  1 PCS | 99.4h7 (3.9134 // 3.9127 //  3.9120 )  ( 3.9127 +/- .0005 ) | 40f7 (1.5728 //1.5723 //1.5718 )                              1.5723 +/- .0003 | Critical Dim  .0001 tolerance ( 89.990 /89.985) | 89.990 /89.985  (3.5429 // 3.5427 )                               3.5428   +/- .0001 | 1.6 Finish  Texture for all 150/ea,1
013024-01,1/30/2024,Belmont Plating,P/N  10952604 TURNBUCLE BODY | Finish: ZINC PLATING ASTM B633 TYPE II CLASS Fe/Zn8 | Certification required please,972
013118-01,1/31/2018,PRECISE ROTARY DIE,P/N N029282 POPPET | MATERIAL : 4130 -  56 Rc Case Harden 2 ea | OD GRINDING ONLY | 51.90 MM-51.88 (2.0433 IN // 2.0430 // 2.0425 ) 2.0430 (+/- .0003,2
013120-01,1/31/2020,PRECISE ROTARY DIE,Y023211  CLAMP  (Material oredered 1018  3/16 x 1.75 x 12 Ft  2ea 125/ea | Y010850 NUT    2ea 100/ea | 4R8852 -  (1018 material) | 438S57 - 4140 Ph (28-32 Rc) if this is not hardened I can' t use it ???,2
013120-01,1/31/2020,BODYCOTE,MATERIAL  :H13 already q+t TO 45 Rc | P/N  9W306305 LINK PIN  (Need them for Monday please) | ION NITRIDE .008  min  DEEP CASE HV 1100 -OVER 70 Rc-  MAXIMUM POSSIBLE ) 6 ea | Masking per dwg 9W306305 Yellow marked areas | and about (5 mm)3/16  in to the part from the step  per print please | NO CERTS!,6
020123-01,2/1/2023,DELTA GRINDING,Material 2.5/8 X 85.25 1ea | Need OD Grinding  TO 2.5565/ 2.5560  @ 0.8  mm  Texture | Please deliver it if possible  ..it is very long (thank you),1
020221-01,2/2/2021,Belmont Plating,"P/N  11627705 RING, RETAINER | Finish : CAD PLATE  TYPE  2 CLASS s 2 52 ea | SPEC   QQ-P-416 | Cert Required Please",52
020223-01,2/2/2023,GENERAL  SURFACE  HARDENING,ASAP   Please | MATERIAL  : 4130 AN | P/N  N090932 PLUNGER TIP 4 ea | LOCAL CASE HARDEN PER PRINT  52-56 Rc    1/16 in deep | No CERTS,4
020224-01,2/2/2024,PRECISE ROTARY DIE,P/N N064799 SHAFT | MATERIAL : 4140  56Rc | 4 step grinding ALL  @ 3.2 Texture | OD  25e7 .9827 //.9823//.982)  @ 3.2Texture Price /ea 110/ea | OD 40e7  (1.5728 // 1.5723 // 1.5720 ) PLEASE CLEAN THE FLANGE .001 | OD 30h6  ( 1.1810  // 1.1808 // 1.1806 )  PLESE CLEAN THE FLANGE  BOTH SIDES .001 | 48 MM 1.189  +/- .002,
020317-01,2/2/2017,Belmont Plating,Material : 1011 | P/N 10861627 RING | FINIS  : CAD PLATE TYPE 2 CLASS 3 156 ea | Cert Required Please,156
020317-02,2/3/2017,GENERAL  SURFACE  HARDENING,MATERIAL  :1045 AN | P/N  H325305 | HEAT TREAT TO 28Rc      +/- 2 Rc) | NO CERTS (Thank you),2
020321-01,2/3/2021,GENERAL  SURFACE  HARDENING,ASAP  PLEASE | MATERIAL  : 52100 AN | P/N  202259 ROLLER 657 ea | Heat treated  to MIN 60 MAX 65 Rc Hardness | CERTIFICATION REQUIRED,657
020322-01,2/3/2022,PRECISE ROTARY DIE,MATERIAL  4140  PH P/N H326958 SEAT | 185g6 OD ALL OVER (AT 0.8 TESTURE)    7.2829 / 7.2817      || MID DIM (7.2823) || 1 ea | 125H7 ID (AT 0.4 SURFACE TEXTURE 4.9228 / 4.9220           || MID 4.9224  +/- .0004 || | 130H8ID (AT 0.8 TEXTURE) 5.1205/ 5.1185                            || MID 5.1195  +/- .001||,1
020325-01,2/3/2025,DELTA GRINDING,MATERIAL  : 4140  50/56 Rc | TKM0053 LINK PIN | 85f6 -.035/-.058       (3.3450 //3.3442) 3.3446+/- .0004 2ea | TKM0054 LINK PIN | 50f7 -.025 /-.050      (1.9675 // 1.9665) 1.9670 +/- .0005 2ea,4
020419-02,2/4/2019,PRECISE ROTARY DIE,Y074129 FLANGE REPEAT JOB | MATERIAL : 1018 2 ea | OD and ID only | 35H4  ID (1.3789 // 1.3784 // 1.3780 ) 1.3784 +/- .0005 | 184.98 /184.95 mm (7.28826 //7.2817 7.2822 +/- .0005 | (Please indicate the small step and face for Axial and Radial runout),2
020420-01,2/4/2020,PRECISE ROTARY DIE,N013435  CYLINDER | CLEAN UP ID TO 8.00 +/- .01 from both ends to center 200/ea | Please do not scratch the ID grinding,
020421-01,2/4/2021,PRECISE ROTARY DIE,MATERIAL  :A36 - | P/N Y006975-FLANGE 4 ea | FLAT  GRINDING BOTH SIDES TO   2.1653   +/- .001,4
020421-01,2/4/2021,DELTA GRINDING,N069221 5 ea | N069222 5 ea | Need OD Grinding  TO 1.929 / 1.926   & 0.6 Ra,10
020421-01,2/4/2021,PRECISE ROTARY DIE,MATERIAL  :A36 - | P/N Y006975-FLANGE 4 ea | FLAT  GRINDING BOTH SIDES TO   2.1653   +/- .001,4
020421-01,2/4/2021,PRECISE ROTARY DIE,MATERIAL  :A36 - | P/N Y006975-FLANGE 4 ea | FLAT  GRINDING BOTH SIDES TO   2.1653   +/- .001,4
020422-01,2/4/2022,PRECISE ROTARY DIE,P/N N073299 POPPET  (REPEAT JOB: LAST MADE 2019) | MATERIAL : 4130  56Rc CASE HARDEN ea | 3 step grinding | ID 105H8  (4.1360 // 4.1350//4.1340)  @ 3.2Texture 175 / ea | OD 35e7  (1.3760 // 1.3755 // 1.3750 )  @ 0.8 Texture | OD 129.90/129.88   (5.1140 // 5.1134 )  @ 0.4 Texture  0.0002 CONCENTRIC,1
020520-00,2/5/2020,"Expert Metal Finishing, Inc",P/N : N071871-GUIDE 2ea | MATERIAL  DURABAR 65-45 | NO CERTS PLEASAE,2
020520-01,2/5/2020,MEXICALI HARD CHROME Co,6R893601 POPPET | MATERIAL  : 4130 -56 Rc | LOCAL  HARD CHROME ON THE SMALL DIAM ONLY OF 1.573  (PER PRINT 6R8936),1
